HIP	Cst	Bayer
41578	Cnc	     
41003	Vol	eta  
40888	Cha	the  
41312	Vol	bet  
41483	Vel	F    
42080	UMa	A    
41816	Cnc	ups01
41822	Cnc	the  
41616	Vel	A    
41975	Lyn	     
41909	Cnc	eta  
41940	Cnc	ups02
41904	Cnc	     
42090	Lyn	     
42133	Cnc	     
42438	UMa	pi.01
42146	Hya	     
42527	UMa	pi.02
42265	Cnc	c    
42088	Vel	C    
42313	Hya	del  
42353	Cnc	     
42177	Vel	E    
42134	Car	e02  
42129	Car	e01  
42402	Hya	sig  
42334	Pyx	eta  
42485	Cnc	     
42604	Lyn	     
42312	Vel	e    
42516	Cnc	     
42523	Cnc	     
42556	Cnc	eps  
42578	Cnc	     
42509	Hya	a    
42483	Pyx	zet  
42515	Pyx	bet  
42662	Hya	     
